Ch1 Amplitude,Ch2 Amplitude,Cluster
1258.68445,7436.69043,1
1258.75793,9676.4375,4
1258.8374,7583.834,1
1258.968,7580.559,1
1259.168,9235.469,4
1259.23853,7565.917,1
1259.50488,7484.63525,1
1259.66956,7700.15625,1
1259.83569,9394.423,4
1259.92969,9492.794,4
1259.93018,7453.608,1
1260.01,7613.44531,1
1260.09473,7559.305,1
1260.67615,7474.95068,1
1260.7384,7365.35547,1
1260.75293,7611.11426,1
1260.7738,7586.89941,1
1260.82019,7675.63428,1
1260.846,7516.122,1
1260.87842,7624.173,1
1261.0918,8062.34473,1
1261.092,9411.743,4
1261.09741,9517.867,4
1261.15076,7639.047,1
1261.208,7522.651,1
1261.24585,7750.4,1
1261.267,7666.002,1
1261.31152,8403.85449,4
1261.3158,7445.50732,1
1261.33679,9277.841,4
1261.34241,7816.072,1
1261.468,8379.664,1
1261.48718,7613.55664,1
1261.50879,7689.65234,1
1261.5592,7860.85059,1
1261.64807,7815.87842,1
1261.65039,9469.971,4
1261.67932,7720.32275,1
1261.69263,7604.242,1
1261.77112,7550.161,1
1261.795,7428.667,1
1261.81177,7352.377,1
1261.83154,8114.19043,1
1261.97815,9694.648,4
1261.99451,7429.32959,1
1262.04333,9449.892,4
1262.05066,7462.73438,1
1262.14465,7350.928,1
1262.33252,7708.62939,1
1262.40857,7641.72,1
1262.508,7637.924,1
1262.54553,7853.36426,1
1262.6571,7553.94141,1
1262.786,7803.094,1
1262.806,7624.93457,1
1262.83032,9648.284,4
1262.88232,7539.95947,1
1262.88892,7535.79834,1
1263.04639,7506.56836,1
1263.07776,7609.14063,1
1263.1084,7449.228,1
1263.1416,9378.213,4
1263.17,7698.667,1
1263.18237,9523.543,4
1263.2406,9363.619,4
1263.34509,7683.33838,1
1263.36035,7469.52,1
1263.51172,7466.969,1
1263.5354,7674.30127,1
1263.62048,7551.744,1
1263.701,9144.161,4
1263.70789,7230.687,1
1263.71887,7440.193,1
1263.84009,7689.25928,1
1263.92175,7415.564,1
1263.92322,7520.439,1
1263.94153,7401.925,1
1264.02063,7835.408,1
1264.07874,9689.533,4
1264.09009,7392.85,1
1264.10046,7262.083,1
1264.11316,7466.90137,1
1264.43384,7920.70947,1
1264.46228,7486.56543,1
1264.47375,7813.014,1
1264.48254,7401.90234,1
1264.49316,7459.115,1
1264.51733,7285.944,1
1264.52869,7499.92432,1
1264.53418,7852.30469,1
1264.54089,7331.61328,1
1264.58545,7567.464,1
1264.6095,9451.797,4
1264.64136,7728.917,1
1264.673,7502.799,1
1264.71484,9632.982,4
1264.76086,7534.95068,1
1264.86926,7540.14453,1
1264.89844,8294.836,1
1264.995,9464.508,4
1265.04321,7387.64453,1
1265.09338,9286.163,4
1265.11926,7554.1333,1
1265.1593,9713.0625,4
1265.32947,7791.69141,1
1265.34692,7333.36133,1
1265.39307,11219.1377,4
1265.40247,7432.174,1
1265.5011,7615.913,1
1265.71545,7673.1626,1
1265.758,7655.30566,1
1265.77087,7800.793,1
1265.79749,7447.65967,1
1265.80957,7760.75244,1
1265.82471,9612.877,4
1265.826,9633.234,4
1265.84131,7560.49463,1
1265.87891,7490.934,1
1265.895,9461.38,4
1265.91455,9485.078,4
1265.91663,7764.546,1
1265.92981,7510.663,1
1265.95349,7528.37354,1
1265.95593,9666.044,4
1265.98438,7406.933,1
1266.04517,7358.80127,1
1266.06018,9617.703,4
1266.10132,7291.642,1
1266.13757,9933.267,4
1266.249,7645.37354,1
1266.28113,7759.874,1
1266.43542,7520.13574,1
1266.49634,7264.982,1
1266.52,7843.397,1
1266.5354,9705.763,4
1266.61816,7676.001,1
1266.66479,7435.33447,1
1266.68213,9866.121,4
1266.71252,10517.0254,4
1266.73633,7410.574,1
1266.76355,10261.3379,4
1266.789,7407.9585,1
1267.00671,7537.68457,1
1267.0094,7456.16455,1
1267.04028,9810.89551,4
1267.043,7671.396,1
1267.07593,7468.43555,1
1267.10913,7691.84,1
1267.11682,7623.456,1
1267.18091,7509.025,1
1267.21423,8001.56348,1
1267.24377,7419.93652,1
1267.24854,7579.68,1
1267.25391,7781.44727,1
1267.25854,7792.447,1
1267.32141,9661.02,4
1267.3501,7677.67334,1
1267.41541,7662.048,1
1267.43335,7679.54932,1
1267.50146,7468.631,1
1267.536,7782.482,1
1267.57373,10008.0674,4
1267.57813,7584.694,1
1267.80676,7568.07227,1
1267.864,7477.108,1
1267.92114,7731.252,1
1268.02234,7566.91,1
1268.043,7603.676,1
1268.05774,7435.44971,1
1268.09058,7647.509,1
1268.09766,9178.274,4
1268.17285,7526.697,1
1268.17358,7849.12061,1
1268.28223,7583.60352,1
1268.31226,7435.21729,1
1268.4519,7383.82666,1
1268.47668,7742.209,1
1268.50842,7699.645,1
1268.54065,7634.94434,1
1268.54187,7592.02539,1
1268.546,7615.28857,1
1268.59644,7644.36133,1
1268.64771,7401.2876,1
1268.69482,7590.55566,1
1268.72717,7472.65967,1
1268.79834,7536.116,1
1268.80066,7479.00537,1
1268.94653,9577.78,4
1268.98767,7384.18652,1
1269.015,7519.91,1
1269.02344,7408.127,1
1269.06848,7339.253,1
1269.10974,7389.2417,1
1269.11792,7361.80371,1
1269.26624,7474.187,1
1269.4375,10675.2578,4
1269.45593,9595.563,4
1269.4707,10968.5029,4
1269.49707,7558.665,1
1269.52026,10832.1191,4
1269.52625,7388.5957,1
1269.535,7925.666,1
1269.55273,7410.45654,1
1269.55383,7496.168,1
1269.64514,7739.12061,1
1269.76648,9321.061,4
1269.77258,7447.577,1
1269.78442,9478.082,4
1269.79956,7460.75635,1
1269.80615,7697.441,1
1269.83752,7523.93652,1
1269.86389,7320.076,1
1269.90613,9630.013,4
1269.965,7665.03564,1
1269.995,9792.005,4
1270.19958,7410.623,1
1270.27258,7554.209,1
